ID,SEX_WITN,AGE_WITN,SEX_PART,ACCURATE,HONEST,MEMORY,COGNITIV,SENIOR_S,SENIOR_H,ACC_Cen,AGEW_Cen,COG_Cen,HON_Cen,MEM_Cen,SENH_Cen,SENS_Cen
85,1,89,2,4,5,5,6,8,9,-.22,40,1.17,-.91,.55,3.48,4.21
94,2,89,2,4,7,4,4,2,2,-.22,40,-.83,1.09,-.45,-3.52,-1.79
117,1,89,2,5,6,5,6,1,3,.78,40,1.17,.0899999999999999,.55,-2.52,-2.79
150,1,89,2,3,5,4,3,1,5,-1.22,40,-1.83,-.91,-.45,-.52,-2.79
156,2,89,2,5,4,4,5,1,2,.78,40,.17,-1.91,-.45,-3.52,-2.79
159,1,89,2,5,7,5,7,8,8,.78,40,2.17,1.09,.55,2.48,4.21
195,1,89,2,3,5,3,1,2,8,-1.22,40,-3.83,-.91,-1.45,2.48,-1.79
196,1,89,2,5,6,5,5,3,9,.78,40,.17,.0899999999999999,.55,3.48,-.79
198,1,89,2,4,5,4,5,3,7,-.22,40,.17,-.91,-.45,1.48,-.79
200,1,89,2,4,5,3,4,7,7,-.22,40,-.83,-.91,-1.45,1.48,3.21
225,2,89,2,3,6,3,4,8,10,-1.22,40,-.83,.0899999999999999,-1.45,4.48,4.21
229,2,89,2,5,7,7,6,1,10,.78,40,1.17,1.09,2.55,4.48,-2.79
230,2,89,2,5,7,5,6,8,9,.78,40,1.17,1.09,.55,3.48,4.21
238,1,89,2,4,6,6,5,8,9,-.22,40,.17,.0899999999999999,1.55,3.48,4.21
245,1,89,2,7,7,6,7,1,2,2.78,40,2.17,1.09,1.55,-3.52,-2.79
249,2,89,2,3,6,3,4,3,4,-1.22,40,-.83,.0899999999999999,-1.45,-1.52,-.79
250,1,89,2,4,6,6,5, ,2,-.22,40,.17,.0899999999999999,1.55,-3.52, 
255,2,89,2,4,6,3,5,8,9,-.22,40,.17,.0899999999999999,-1.45,3.48,4.21
261,2,89,2,4,5,5,4,4,6,-.22,40,-.83,-.91,.55,.48,.21
268,2,89,2,3,6,2,3,6,6,-1.22,40,-1.83,.0899999999999999,-2.45,.48,2.21
